part_id,part_name,motor_type,price
08CLAH50500,HONDA M/C GENUINE COOLANT,PCX 160 CBS,19500.0
31917K0RV01,"PLUG, SPARK(LMAR8L-9)(NGK)",PCX 160 CBS,70000.0
06455K46N21,"PAD SET, FR. BRAKE",BEAT SPORTY CBS ISS,62000.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",VARIO 125 CBS ISS SP,59000.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,VARIO 160 ABS,16500.0
082342MBK0LZ0,"SPX2 10W30 SLMB 0,8L REP",VARIO 160 ABS,70500.0
082342MAK8LZ0,"SPX1 10W30 SLMA 1,2L REP",NEW CBR 150R STD,90000.0
082322MAK2LN0,"MPX1 10W30 SLMA 0,8L REP",BLADE,57000.0
22132GCC771,PIECE SLIDE,SPACY CW HELM IN FI,40500.0
23100KZLBA0,BELT DRIVE KIT,SPACY CW HELM IN FI,156000.0
082342MBK8LZ0,"SPX2 10W30 SLMB 0,65L REP",BeAT Street,61500.0
06430KZL930,SHOE SET BRAKE,BeAT Street,61000.0
082342MBK0LZ0,"SPX2 10W30 SLMB 0,8L REP",NEW PCX 150 CBS,70500.0
082342MBK0LZ0,"SPX2 10W30 SLMB 0,8L REP",PCX 160 ABS,70500.0
43130KZL930,BRAKE SHOE,VARIO TECHNO 125 CBS ISS,55500.0
08232M99K0LN5,"MPX2 10W30 SLMB 0,8L CAS",BEAT FI SW,59000.0
06435K97N01,PAD SET RR BRAKE,PCX,132500.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",Beat Sporty,50000.0
23100K44V01,BELT DRIVE,BEAT FI CBS,111000.0
22105K44V00,BOSS DRIVE FACE,BEAT FI CBS,27500.0
43130KZL930,BRAKE SHOE,BeAT Sporty CBS,55500.0
AHGK0010014,HONDA LEATHER KEYCHAIN,BeAT Sporty CBS,57000.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,BeAT Sporty CBS,16500.0
17210K16900,"ELEMENT COMP., AIR CLEANER",BEAT SPORTY CBS ISS,53500.0
12391K44V00,"GASKET,HEAD COVER",BEAT SPORTY CW,24000.0
TBC500ML,THROTTLE BODY CLEANER 500ML,BEAT SPORTY CW,35500.0
12251GGC901,GASKET CYLINDER HEAD,BEAT SPORTY CW,14500.0
082342MBK0LZ0,"SPX2 10W30 SLMB 0,8L REP",BEAT SPORTY CW,70500.0
